,分词,计数
10019,维度,5
10182,疲惫,5
10189,龙叔,5
10207,干,5
10289,心情,5
10302,自恋,5
10324,总会,5
10338,歌曲,5
10348,云和月,5
10370,踩,5
10403,抓,5
10414,薄弱,5
10424,紧凑,5
10521,堪称,5
10626,间,5
10627,一位,5
1,功名,4
13,胖,4
14,包装,4
24,家长里短,4
34,..,4
61,升级,4
64,原则,4
77,拥有,4
99,你好,4
125,开,4
146,看一遍,4
150,强求,4
165,网感,4
173,脱离,4
203,攻击,4
213,骂,4
254,张婧,4
285,漂,4
301,这类,4
358,超越,4
401,重复,4
405,算计,4
433,媒介,4
442,身体,4
477,善于,4
523,尺度,4
533,可怕,4
564,好好笑,4
577,泄气,4
598,厌女,4
624,负责,4
642,26,4
655,理由,4
674,走向,4
692,影评,4
693,大米,4
707,晚,4
762,声,4
768,变得,4
810,意味着,4
827,献给,4
888,加长版,4
892,平等,4
899,宝藏,4
909,公道,4
946,记录,4
947,收尾,4
1001,惨,4
1024,一言难尽,4
1052,A,4
1065,很久没,4
1069,口号,4
1077,终究,4
1083,婶,4
1161,篇幅,4
1162,创造,4
1169,看点,4
1177,瓜,4
1182,文本,4
1221,时辰,4
1239,调色,4
1264,一步步,4
1300,low,4
1333,绽放,4
1334,性别,4
1338,计,4
1398,恋爱,4
1413,不出,4
1418,小孩,4
1460,高高在上,4
1487,心安,4
1545,两位,4
1565,奇迹,4
1570,高分,4
1607,善意,4
1615,深,4
1629,電影,4
1667,恶意,4
1671,白,4
1743,距离,4
1764,亲切感,4
1818,语境,4
1819,三十,4
1857,分数,4
1863,诗,4
1899,穿插,4
1902,风,4
1928,贞节牌坊,4
1966,主动,4
2037,演艺,4
2159,过猛,4
2215,丝毫,4
2223,挑,4
2230,侠义,4
2260,阵容,4
2328,高大,4
2337,瑶琴,4
2348,输出,4
2350,已知,4
2362,囧,4
2384,意想不到,4
2409,人品,4
2460,最多,4
2461,舒适,4
2472,奈何,4
2496,离场,4
2530,一贯,4
2549,扮相,4
2555,弥漫,4
2590,草原,4
2637,自以,4
2658,警察,4
2668,电视,4
2676,洗脱,4
2697,人员,4
