,分词,计数
27420,过时,21
28147,刷,21
183,着实,20
431,王,20
673,洗钱,20
872,好感,20
1379,搭配,20
1423,疼痛,20
1851,对决,20
2375,缺少,20
2474,狠狠,20
2620,主打,20
2891,师,20
3715,证据,20
3791,拼凑,20
3820,这座,20
3918,对抗,20
4157,爆发,20
4460,一流,20
4580,励志,20
4764,旧,20
5198,之中,20
5563,专业,20
6086,不像,20
6156,大杂烩,20
8112,2.5,20
8308,飞行员,20
8468,帮,20
8813,皆,20
8933,建立,20
8947,正片,20
9648,走心,20
9683,多余,20
11793,水,20
11992,疯,20
12412,出品,20
12489,增加,20
12659,战斗机,20
12673,时空,20
13517,超过,20
13559,洗,20
13839,神,20
14139,低俗,20
14375,没人,20
14395,心思,20
14638,文艺片,20
15007,说教,20
16323,元,20
17451,型,20
17674,胡军,20
18275,定位,20
18395,牵强,20
18920,前期,20
19354,充斥,20
19508,活着,20
20234,蠢,20
20639,受不了,20
20700,真挚,20
20708,活,20
21736,漏洞,20
22132,国风,20
22750,几段,20
22866,离场,20
23009,风筝,20
23666,操作,20
24159,挑,20
24469,张力,20
24705,文学,20
26050,一份,20
26878,婚姻,20
27175,成年人,20
27372,借鉴,20
27501,片场,20
128,动画电影,19
219,撑,19
1848,不让,19
2075,缺,19
2611,千与千寻,19
3526,一大,19
3912,自洽,19
4574,装,19
4796,很尬,19
5765,网大里,19
7120,妥协,19
7227,调色,19
7300,呈现出,19
7621,过分,19
7895,配合,19
7988,办法,19
8612,扫黑,19
8669,抠,19
9077,一把,19
9626,组合,19
9756,坏人,19
10902,实力,19
10912,追逐,19
11209,直,19
11283,预告,19
12252,讲究,19
12355,回家,19
12718,丰满,19
12836,工整,19
13420,散,19
13498,一个个,19
14537,如芒刺背,19
15170,平平,19
15586,仅仅,19
15596,投资,19
15877,求求,19
16141,噱头,19
16318,献给,19
16858,友好,19
17092,不见,19
18437,有点儿,19
18627,学,19
19006,难过,19
19246,一生,19
19490,寻找,19
19500,令,19
19593,底层,19
19715,因素,19
19858,深情,19
20373,亿,19
20998,涉及,19
21034,特写,19
21092,虚构,19
21369,戏中戏,19
21405,胡可,19
21456,洗白,19
21615,很久没,19
22106,狗,19
22581,雷宇,19
22702,感叹,19
22970,辟谣,19
23787,年龄,19
23869,找个,19
23893,屏幕,19
24024,一眼,19
24307,见到,19
24632,一言难尽,19
24730,揭开,19
25290,无语,19
25315,挑战,19
25440,讓,19
25448,座头市,19
25696,路线,19
25828,南江,19
26318,信,19
26831,太行,19
26890,精灵,19
27504,这类,19
27973,响起,19
27983,冲出,19
28328,谍战片,19
28465,无奈,19
706,敷衍,18
861,贺岁,18
881,女朋友,18
939,不看,18
2527,值,18
2598,大众,18
