,分词,计数
241,要论,4
273,地步,4
287,同志,4
310,美女,4
390,一眼,4
407,抄,4
412,目标,4
466,离场,4
474,自爆,4
491,第三幕,4
523,一是,4
548,活在,4
554,指望,4
597,饭桌,4
611,比方说,4
641,批判,4
706,命案,4
713,悬案,4
741,多一星,4
746,則是,4
763,捕捉,4
784,乔老爷,4
798,加油,4
807,少见,4
813,妖,4
839,转行,4
845,熟人,4
855,诺兰,4
902,林家栋,4
924,粗暴,4
927,终有,4
953,谋杀,4
992,這,4
1006,坏蛋,4
1010,过多,4
1011,呈现出,4
1018,闪回,4
1056,原生态,4
1079,揭晓,4
1105,劲,4
1121,散,4
1123,计划,4
1124,超,4
1158,惊讶,4
1167,真八,4
1168,常理,4
1237,打斗,4
1255,调查,4
1264,道理,4
1295,emmm,4
1330,经验,4
1412,阴森,4
1414,客人,4
1415,芭蕾,4
1476,可悲,4
1477,空镜,4
1506,团队,4
1529,连接,4
1558,操作,4
1572,动,4
1575,偏执,4
1577,分段,4
1584,好差,4
1595,五个,4
1609,妖魔鬼怪,4
1626,想着,4
1629,状态,4
1635,嚇點,4
1654,办案,4
1701,事实,4
1738,民间,4
1740,破碎,4
1775,一流,4
1782,娱乐圈,4
1783,还会,4
1817,堆砌,4
1820,童谣,4
1822,赢,4
1856,淋漓尽致,4
1857,荒原,4
1859,覺得,4
1862,拽,4
1864,政审,4
1932,脑子里,4
1939,推理片,4
1948,拼凑,4
1979,情仇,4
1984,之作,4
2055,憨,4
2106,扯,4
2118,学,4
2129,手段,4
2141,高能,4
2142,套,4
2175,行走,4
2178,综艺,4
2216,b,4
2247,时期,4
2269,崩,4
2306,对戏,4
2311,枪法,4
2324,恐影,4
2357,太拉跨,4
2375,无口,4
2385,零,4
2401,级别,4
2432,构建,4
2433,梦想,4
2471,没法,4
2488,舞蹈演员,4
2491,生,4
2534,大女主,4
2544,爆,4
2583,屠夫,4
2624,虐,4
2640,太差,4
2644,好评,4
2705,说好,4
2742,人类,4
2811,轮回,4
2838,范儿,4
2877,摔,4
2893,跪,4
2901,一股,4
2923,撑,4
2934,演员表,4
2944,案例,4
2959,别扭,4
2994,女子,4
3002,久,4
3024,功底,4
3061,用到,4
3072,事儿,4
3091,预告,4
3094,崔,4
3103,等于,4
3141,最有,4
3160,爽片,4
3172,整场,4
3180,危险,4
3212,一会,4
3223,严谨,4
3243,好坏,4
