,分词,计数
5356,一遍,4
5361,罪恶,4
5371,编排,4
5388,爸爸妈妈,4
5483,突兀,4
5505,珍贵,4
5511,叙述,4
5516,和平,4
5518,失控,4
5523,一声,4
5557,做好,4
5562,灯光,4
5648,一句,4
5703,加油,4
5744,升格,4
5776,搞定,4
5822,技能,4
5834,自由,4
5838,大侠,4
5911,极佳,4
5936,方法,4
5950,花里胡哨,4
5960,好感,4
6002,好久没,4
6019,谍战剧,4
6063,有个,4
6080,垮,4
6146,品质,4
6155,血腥,4
6160,推动,4
6204,建立,4
6225,三年,4
6293,苦难,4
6331,四十年,4
6348,对峙,4
6355,观念,4
6363,风土人情,4
6424,智障,4
6489,一顿,4
6544,一堆,4
6546,再现,4
6683,爱好者,4
6730,搭档,4
6733,更爽,4
6749,烧,4
6769,师姐,4
6782,天,4
6788,CG,4
6810,快乐,4
6850,点儿,4
6866,服务,4
6921,未,4
6938,倒下,4
6957,太强,4
6962,許冠文,4
7003,免费,4
7005,透露,4
7019,灾难,4
7057,块,4
7096,做出,4
7110,一帮,4
7128,几部,4
7132,证人,4
7135,流量,4
7136,春节,4
7143,黄金时代,4
7181,生,4
7205,拟人化,4
7216,吐槽,4
7220,近身,4
7247,有幸,4
7271,决战,4
7342,哪有什么,4
7355,美的,4
7357,几年,4
7383,专业,4
7393,戏路,4
7404,劇本,4
7454,废,4
7501,简陋,4
7544,玩意儿,4
7557,难熬,4
7592,写实,4
7626,疯疯癫癫,4
7671,钢琴,4
7758,情爱,4
7759,美女,4
7781,性命,4
7798,mv,4
7814,太重,4
7826,前作,4
7831,分数,4
7856,文学,4
7869,出品,4
7915,数据,4
7967,少年,4
7977,转折,4
8014,黎明,4
8026,值得一提的是,4
8035,围绕,4
8144,意味,4
8149,忽略,4
8181,电视,4
8200,却是,4
8245,勇气,4
8279,拖沓,4
8302,吴宇森,4
8348,突破,4
8356,严肃,4
8382,消亡,4
8434,皆,4
8442,刻板,4
8443,成片,4
8536,老戏骨,4
8554,這種,4
8574,油腻,4
8583,接,4
8607,仅仅,4
8623,李白,4
8626,拂衣,4
8745,风云,4
8749,狠,4
8793,幕后,4
8831,安娜,4
8890,票,4
8940,敷衍,4
8952,爱情故事,4
8970,庞大,4
9010,破案,4
9041,伟仔,4
9062,帮,4
9113,好评,4
9119,足以,4
9134,黑豹,4
9164,欣赏,4
9174,出人意料,4
9195,追逐,4
9203,字,4
9225,路演,4
9239,滤镜,4
9241,还原,4
9300,占,4
9304,条,4
9366,支离破碎,4
9392,本事,4
9395,反复,4
9430,惊心动魄,4
9469,取舍,4
9501,ICAC,4
9511,错误,4
9513,b,4
9519,直观,4
9558,雨夜,4
9609,上阵,4
9661,下次,4
9690,内在,4
9732,主人公,4
9794,局长,4
9817,我会,4
9831,本该,4
9864,提高,4
9916,讓,4
9930,來,4
