用户名,评论时间,评论内容,评分,赞同数
lsyer,2023-01-22 13:36:51,"罗生门式的故事展开和补充，继承了罗曼蒂克消亡史的精神续作，无论镜头语言、拍摄技巧，还是电影质感极强，原本这是值得多刷的优秀电影。
但……王一博毁了一切，面瘫的塑料脸贯穿全剧。因为一个角色让一切都失败了，我第一次深刻理解为什么那么多人痛恨流量明星。
本片最大的爽点就在梁朝伟痛揍王一博，我是我多想当场把他揍死，后面可以不再出现……",30,293
Moses,2023-01-22 13:33:01,"剪的太稀碎了，我们都知道导演在玩弄时间线，我们都知道昆汀，诺兰，盖里奇都爱这样玩，我们也都看过很多类似的优秀作品，但支撑这些优秀作品的基础是优秀的故事，深刻的内核，优秀的角色，有张力的剧情，然而，该片中没有明显的发现以上元素。优点，个人风格很突出，美学很棒，抗战时期压抑黑暗氛围诠释得很好，梁朝伟稳得一匹。
  但是作为谍战片，真的不是很合格，几乎没有靠正邪双方你来我往去制造紧张感和剧情张力，反倒感觉像是因为剧本太平淡，而选择了把时间线打乱来制造悬疑感，每揭开一个谜底之前都已经猜到接下来会发生什么，被放在预告片里当做吸引力的动作戏，也完完全全被韩国的谍战片锤爆了。",30,213
乖巧可爱,2023-01-22 13:16:07,60分的王一博给一部80分的影片贡献了100分的演技,40,767
消亡之人,2023-01-22 12:05:24,"完全没看出来商业在哪，除非指的是配乐太满以至于时常情绪烘托过度，剪辑拖沓又凌乱只在唯一一场枪战戏还算舒适，王一博戏份特别多所幸真的没拖后腿，相比之下黄磊和大鹏比较丢人，即无存在感也完全没气势，台词更加直白因而黑色幽默不再又装逼意味过浓……
但它也没文艺下去，与罗曼蒂克消亡史相比，叙事依旧杂乱，但不再是以纷繁支线铺陈一个时代一座城市的气质，而只是故弄玄虚；女演员发挥出色，但戏份过少，也就不再能给电影提供一种气若游丝令人魂牵断肠的性感的韵；可能从开头第一声巨响起，观众就能感受到一种装腔作势，就像唯一一场打戏能欺骗的也只有观众，在故事中却甚至不成立。
总而言之对大部分观众依然不友好，而相较前作又全是缺陷。还能打到三星全托了梁朝伟的福，他完全知道在易先生里融入多少柔软和怜悯就能把他变成一个共产党人。",30,159
X.,2023-01-22 12:35:10,一个简单到无聊的故事，毫无共情。用剪辑生造悬疑，一场戏劈两半，头一段尾一段。未免太蠢了。除了梁朝伟，其他人演的好差啊！！！！！,20,1230
fortunate_✅,2023-01-22 12:29:52,王一博背后的资本是真傻逼 确实不妨再等一等 梁朝伟需要好剧本 一张大王和一堆3是赢不了牌局的 需要好导演好剧本来运筹帷幄 冲着梁朝伟才勉强三星,30,457
固埃,2023-01-22 12:09:58,"1：战争场面，轰炸场面充斥着逼真的虚假。 2：每个人都努着劲说台词，好像只有这样才能配得上导演舍不得剪在预告片里的“非常精彩的台词。”   3：王一博演得很差，大鹏演得很差，黄磊演得很差。 4：江疏影作为工具人被安排的喧宾夺主。 5：每个人物都是被单独塑造的，是其他角色的绝缘体，无法合成一体。 6：最后的交代过于详细，没有遐想的空间，是在否定无名这个主题。",20,970
出门前后,2023-01-22 12:53:37,梁朝伟，是给的太多吗？想不出理由来你为什么要接这部电影……领衔主演胜似配角…在一众资本咖里演技吊打…全场最佳演技影帝影后相遇一分钟…程耳 想画画先要有好的画笔 你看看你选的演员哪个好…配乐也很soso…想碎片化拍摄结果为了反转而反转…最佳画面是一些空镜头…商业片个啥？认真在搞笑吗？,20,1453
路宝,2023-01-22 11:30:31,"粉丝可见的演技，王一博
这梁朝伟的演技也不行啊，带不动王一博啊
还有这剧情怎么这么乱",10,1438
dq,2023-01-22 11:18:47,这片改名叫无语吧。,10,982
今年上岸,2023-01-22 11:28:45,导演确实有艺术追求，布景、构图、调色和细节都很到位，剪辑手法也很新颖，梁朝伟稳定发挥，但是故事没讲好，人物不丰满，反转生硬，没有感情，甚至怀疑剪辑也是为了硬造悬疑以加强故事性，总结：仿佛在吃巧克力味的屎,30,210
贾天天,2023-01-22 12:38:58,面无表情的最高境界,20,1024
今天早睡了吗,2023-01-22 11:11:04,中间的打戏太爽了,50,14235
狗芦苇,2023-01-22 13:07:56,程耳导演光顾着高级了   叙事还差了一大截,30,294
