用户名,评论时间,评论内容,评分,赞同数
日烦夜烦,2023-04-13 22:41:05,瞄准女性受众把剧里都市两性间的电光石火改为女性互助小时代戏码是很可惜也很俗套的处理。整体拍的太平了，不过选角、部分台词和自黑梗还不错。白恩好评。（工作邮箱用qq mail这种细节差劲！）,20,7
喻鸣,2023-04-15 12:09:05,"前有八卦中争分夺秒介绍分子料理，后有排舞中见缝插针拌嘴逐渐升级，撕得太精彩了，郭敬明看了直呼内行。连开场舞都有意COS，我宣布，新的时代姐妹花诞生了。
影版熟悉的配方，熟悉的味道，看完就像做了一场精神马杀鸡：对食色性人之大欲不加掩饰的热爱，对两性关系、职场竞争、姐妹槽点不带傲慢的嬉笑怒骂自嘲，爱情片和职场片难得如此顺滑兼容，毫无排异反应。结尾年会男女老少高矮胖瘦大秀舞技，完全不被性别年龄身材桎梏，尊重、多元、自由、随心，就是电影要传达的，活出自己最精彩。",50,46
车了个干,2023-04-16 20:14:15,我属实不理解，为什么最后每个女人的落点还都是她们的爱情啊，一边说姐妹同心其利断金，一边帮姐妹解决的事情都是情情爱爱的而不是工作或者生活，女人离了爱情是会死吗？电视剧我还看到了很多关于独立女性或者职场困境的话题，电影就只有男的男的男的，救命啊，不想看这个,30,7
阿柴,2023-04-14 21:00:06,这应该就是郭导拍《小时代》时脑袋里想要的效果了。看完非常快乐。,50,11
半掩门儿的~,2023-04-06 09:13:21,可以打到3.5-4颗星。陈正道深谙大陆市场的需求，也知道大热IP衍生电影应该如何在提供剧迷熟悉感的同时给予非剧迷新鲜感。电影要探讨的其实仍然是女性困境和女性情谊，虽然没有核心故事，却经由三个女性角色不同的故事线索较为详细地铺陈了当代女性非常切身的问题，诸如亲密关系中的背叛、进入婚姻的焦虑、家庭事业的两难等等。电影给出的答案是靠直觉、靠体验、靠自主意识、靠自由随心的选择、靠姐妹坚实的互助，真的非常正向且美好，不得不说陈导是懂女性的。@万达影城英利 with 门门。,40,7
你是不会当树吗,2023-04-15 14:59:12,其实是略微有点失望的 不是那么像电影 像是剧版的加长番外 而且比剧版也差了不少 想探讨的 想吐槽的 想讽刺的 也只是淡淡得蜻蜓点水一般。希望陈导可以好好利用一下这个IP 更好得拍出第二季（如果有的话）,30,9
Rhapsodes,2023-04-22 11:40:53,帝都的排片差到什么程度呢？就是大周末的一共两场，一场让你狠心不吃早饭，一场让你痛心没有夜宵。所幸电影是值得一看的，特别是夏梦和方欣的困境都足够丰满：一边是男性创作者圈层（也许并非恶意，却）自然形成的厌女氛围，一边是女性主导企业里（即使受到关怀，也）依然存在的母职惩罚。相比之下，刘净这条线还是弱，希望剧里能有起色——哎，是不是以后看不到性感小爸爸了呀？没事，还有奶狗富二代、海王浪大厨和尚未出场的等等等等。毕竟，你永远可以相信陈正道挑男人的眼光。,40,13
下雪的晴天,2023-04-16 19:00:23,"电影的开场，三个女生的吵架，落幕都莫名很“小时代”。
应该是电视剧1和2的过渡章节。完全没必要非要整个电影。
但整体来说，叙事还是和电视剧一样，值得夸",30,3
kakakarl,2023-04-14 20:26:44,"陈正道肯定想到了涉及姐妹撕逼就会有人拿着和《小时代》进行比较，在开头就“致敬”（恶搞）了经典名作《小时代》。还是太爱看三姐妹的故事，剧情里还自我吐槽《访客的秘密》，陈正道还是蛮会的。在歌舞中撕逼的片段很爱，导演之后也可以考虑一下做歌舞片。希望《爱很美味》能成为中国第一部成功的电视剧剧场版！同时也期待续集！第二季搞快点！",40,7
无非,2023-04-05 18:37:18,轻松愉快，人物还是王菊比较出彩，但戏剧冲突设定过于平淡，处理也走过场，笔墨集中在笑点和槽点上了。这种拍法能拍24部。,30,11
sTill-Life,2023-04-15 17:30:14,请把她们的故事一直拍下去@宣传电影的正道,40,4
ZHANGWANHE,2023-04-15 10:51:24,意外地好看。节奏轻快明媚，叙事有电视剧作为依托改编起来也是很流畅全程无卡顿感，三位角色都提供了女性都市生活困境拷以及如何摆脱这种困境的一个正向的样本。演员选得好，李纯张含韵王菊都是强都市感的演员，尤其是王菊演技惊艳。唯一的遗憾是李纯和向东流的感情戏可以再深入挖掘一些，目前还是暧昧地点到为止阶段。,50,25
唐朝,2023-04-14 21:16:21,爱不美味,30,10
