用户名,评论时间,评论内容,评分,赞同数
wsind,2023-04-07 13:45:15,请问一下，刘浩存能不能不演电影？另外，哪怕她呢，跟同组的马学一学，也好啊！马怎么演的比人好这么多？真让人匪夷所思！,10,87
撕袜先锋,2023-04-12 23:24:42,看得出来成龙很怀念巅峰时期的自己。,40,5
帽盔山单打王,2023-04-08 01:01:27,全片像是一个个消费老面孔的短视频集合，这五分钟走煽情了，那五分钟又搞情怀了，而故事推进突兀，情感铺垫为零，马是有那么一点隐喻，但也无法和父女或职业产生什么有效联系，对替身演员致敬？对不起，你和你的马“一战成名”，其他被一脚踢到一边的替身群演呢？所有感动来自于你看到的港片熟悉面孔，看到了几段以往成龙电影片尾的特技动作花絮，所以没有这个电影你一样感动，像极了落魄演员直播带货，而这竟然是举世闻名的业界大哥拿到的剧本，想改变老牌动作演员的现状？史泰龙、施瓦辛格打不动都要在电视剧第二春了，只能说行业主流理念差太远了,10,57
豆友266338012,2023-04-08 19:18:59,是什么在支撑成龙大哥一直拍这种烂片，刘浩存更是不用说了眼神一直游离在剧情之外实在是无力吐槽，纯纯浪费时间,10,40
栀紫,2023-04-07 20:13:10,别说剧情了，人物之间的情感变化都是连不上的啊，没有女儿女婿会更好看,20,23
爱笑男孩杰乌索,2023-04-08 21:06:53,"成龙对《警察故事1》、《警察故事3》、《A计划》、《我是谁》、《龙兄虎弟》、《醉拳2》……时期自己的追忆，所以对煽情没有任何克制。
电影在吴京那拍完戏后，就该结束了，后面都是无节制的煽情了。
刘浩存是很美，但演技也是很呆。",20,0
摩羯座的猫,2023-04-07 17:04:17,有这个时间看这种电影，不如去做个义工，或者把钱捐给有困难的人，帮助一个弱者。,10,63
鲨鱼不会水,2023-04-07 12:56:14,成龙这些年的电影都乏善可陈，大哥别再透支自己的信用了，没必要晚节不保。,10,112
水行之,2023-04-09 17:28:46,看到许多成龙大哥老电影的片段，好多熟悉又叫不上片名的场景，不觉间他的电影已陪伴我从幼年到了青年。从永不说不，到走下来，世界第一的龙虎武师的台词令人感慨。特技与安全的矛盾，拍片与家庭的艰难抉择，作为观众往往是会忽略的。时代在变，对武行的要求也在变。感谢那些曾陪伴我们的龙虎武师。,40,8
Huan,2023-04-07 22:51:03,贩卖情怀的电影，龙叔  70岁还在捞钱,10,75
不是momo,2023-04-07 16:11:48,全场马演的最好 在电影院如坐针毡 不好看（免费的票）,10,73
梦里何曾花落,2023-04-09 19:31:31,人生也就一个60年，成龙大哥出道60年把一生都奉献了给香港电影。,40,6
芝士汉堡.,2023-04-08 08:59:44,【1.0】属实是预料之中的难看，也证明了这些年来不再看成龙的电影是多么正确的选择，在我心里十二生肖的结束就已意味着成龙时代的陨落，往后的种种都只是源于恶意的消费，此作当然也不例外，除了呈现成龙传奇般的人生稍让人感怀，其他的所有展开无一不是败笔，灾难式的情感推进附着在贫瘠的故事框架之中，摇摇欲坠的空中楼阁只有插科打诨的乐子，有一搭没一搭的胡乱拼凑让平庸都成为了一种奢侈，又尴尬又冗余还要拼命煽情在雷区肆意蹦迪，可以说是近几年最坐牢的院线体验了……,10,21
timoranc,2023-04-07 16:44:42,好喜欢赤兔啊，在电影里的表现太惊喜了，可爱威猛的马马我爱了！！！,50,124
天野在远方,2023-04-07 18:54:55,又是典型的后成龙电影，纯纯的牛马之作，博情怀不可取，全片挺尬的，节奏拖沓，故意煽情，其实看得出导演想要像《鸟人》那样讲述一段大起大落的心酸史，结果事宜愿为拍的一塌糊涂，龙虎武师的经典一幕幕不断浮现，来到现在这种精神也逐渐消失，片子全程都充斥着成龙以前过往系列电影的彩蛋致敬，但是这反而越发的让人觉得是在过度消费以前仅剩的最后荣光，赤兔马训练的很好，也很聪明，表演效果比人还厉害，反倒是刘浩存真的只会哭，动不动就哭，除了哭只会哭其他啥也不会，在整部片子当中显得相当鸡肋，这也是一到败笔…,10,43
